number,E,index,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,displ_Bi,displ_Fe,displ_O,norm,min_d
4584,-9999.0,POSCAR189821,-0.76,1.11,-0.54,-0.64,0.63,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.578,0.0,0.61,1.843,1.862
4585,-9999.0,POSCAR189833,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-0.97,0.71,0.0,-0.89,-0.28,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.661,0.116,0.828,1.547,1.885
4586,-9999.0,POSCAR189848,0.0,0.44,-0.16,0.0,0.0,-0.81,0.51,0.77,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.503,0.085,0.551,1.421,1.841
4587,-9999.0,POSCAR189861,-0.29,0.0,0.0,0.0,-0.19,0.0,0.0,0.0,0.0,-0.85,-0.37,0.0,0.0,-0.68,0.0,0.0,0.0,-0.18,0.0,0.0,0.0,0.298,0.032,0.884,1.214,1.895
4588,-9999.0,POSCAR189936,0.0,0.0,0.0,0.0,0.0,-0.57,0.0,0.0,0.54,0.0,0.95,0.0,0.62,0.0,0.0,0.5,0.0,0.08,0.0,0.0,0.0,0.468,0.098,0.53,1.47,1.896
4589,-9999.0,POSCAR189945,-0.47,0.0,0.0,0.0,-0.95,-0.34,-0.1,0.2,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.061,0.042,0.542,1.266,1.825
4590,-9999.0,POSCAR190014,0.0,0.0,0.0,0.18,0.61,0.41,0.54,-0.86,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.594,0.128,0.783,1.583,1.896
4591,-9999.0,POSCAR190015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,-0.45,0.09,0.0,1.08,-0.2,0.0,-0.52,0.0,0.0,0.0,0.0,0.254,0.0,0.864,1.338,1.936
4592,-9999.0,POSCAR190109,0.0,0.0,0.0,0.0,-0.14,0.0,0.0,0.0,0.0,0.0,0.58,0.98,0.49,0.0,0.0,0.14,0.0,0.0,-0.92,0.0,0.0,0.648,0.111,0.817,1.556,1.901
4593,-9999.0,POSCAR190150,0.0,0.0,0.0,0.0,0.27,0.87,0.0,0.0,-0.83,0.27,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,-0.28,0.0,0.711,0.177,0.96,1.646,1.804
